Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
b0815fc3-2319-4d68-8e30-aab1db7ac191,Product__c,Field Value,equals,#N/A,789dbe6a-c39f-4585-977c-8118d24ba088,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
27aa831c-b6b6-47c3-8487-9d6b48d5f312,Approval_Level__c,Static Value,equals,#N/A,f85c9f91-3d00-49e2-97ae-d2e9b122cbc2,#N/A,#N/A,#N/A,#N/A,3
004b1c63-4ba6-4b08-837b-b343a4249ffe,Role__c,Field Value,equals,#N/A,0ce5b312-8f84-44e6-a9b5-ff346de915aa,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
548e7928-8353-4015-89a2-8744139770ff,Product__c,Field Value,equals,#N/A,559efa50-1c98-4ad9-b05e-c01100a81d24,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
d34edb4c-ae2f-4d5c-a7c8-d864709b2405,Approval_Level__c,Static Value,equals,#N/A,3a0d3db1-d793-4cf8-a7d9-f7d201b0f7b0,#N/A,#N/A,#N/A,#N/A,1
4eaf7524-8698-46b0-bb76-5eba8927910e,Product__c,Field Value,equals,#N/A,203f7fed-642e-4854-ac0f-1ab53ae51e46,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
924f13e2-626e-4402-9972-0b44dacfc7da,Product__c,Field Value,equals,#N/A,fe655a51-f065-4fd0-8450-bd3c5da2c11d,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
6f99b4a0-5493-45da-921d-98e1f849c67a,Product__c,Field Value,equals,#N/A,b4b6c829-9617-4e4b-b688-de4997e89325,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
07537541-0545-4c9a-ac63-d0d6f3f91cd5,Product__c,Field Value,equals,#N/A,a118c2d0-a2e4-433a-a7f3-fe2995b8c40c,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
ba67d6a4-5fb4-4ab3-9864-50d2f6e45f9a,Lower_Bound_Percent__c,Field Value,greater or equals,#N/A,b4b6c829-9617-4e4b-b688-de4997e89325,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
90a32403-64fc-4922-8a9f-f3376f891a54,Threshold_Type__c,Static Value,equals,#N/A,b4b6c829-9617-4e4b-b688-de4997e89325,#N/A,#N/A,#N/A,#N/A,Discount
ed64a119-191b-4abf-9444-91c862fa65f0,Product__c,Field Value,equals,#N/A,3a0d3db1-d793-4cf8-a7d9-f7d201b0f7b0,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
e092f891-0178-44fe-b795-ad7908c43d74,Approval_Level__c,Static Value,equals,#N/A,559efa50-1c98-4ad9-b05e-c01100a81d24,#N/A,#N/A,#N/A,#N/A,1
